#time intensity
15.388 1.769
15.439 0.849
15.489 -0.016
15.539 -0.891
15.589 1.609
15.639 1.072
15.689 -0.877
15.739 2.377
15.789 0.228
15.840 3.132
15.890 2.041
15.940 0.031
15.990 1.484
16.040 1.229
16.090 0.965
16.140 1.530
16.190 1.102
16.241 0.281
16.291 -1.099
16.341 -1.298
16.391 3.580
16.441 0.875
16.491 0.153
16.541 1.202
16.591 -0.295
16.642 0.512
16.692 1.278
16.742 0.481
16.792 1.356
16.842 0.674
16.892 1.457
16.942 -0.294
16.992 1.963
17.043 1.912
17.093 1.961
17.143 2.756
17.193 2.115
17.243 3.143
17.293 1.324
17.343 0.876
17.393 1.807
17.444 1.747
17.494 1.558
17.544 3.117
17.594 3.245
17.644 1.811
17.694 1.607
17.744 2.705
17.794 1.606
17.845 -0.107
17.895 3.838
17.945 1.983
17.995 0.468
18.045 0.673
18.095 -0.038
18.145 1.137
18.195 1.307
18.246 0.839
18.296 -0.584
18.346 1.702
18.396 0.100
18.446 0.875
18.496 -0.797
18.546 1.923
18.596 1.348
18.647 1.015
18.697 0.325
18.747 -0.198
18.797 3.164
18.847 1.428
18.897 1.291
18.947 1.105
18.997 1.795
19.048 0.525
19.098 0.914
19.148 -0.002
19.198 2.177
19.248 1.151
19.298 0.578
19.348 0.167
19.398 1.170
19.449 0.187
19.499 2.280
19.549 0.345
19.599 -0.482
19.649 2.212
19.699 2.085
19.749 0.497
19.799 1.714
19.850 0.628
19.900 2.442
19.950 0.867
20.000 2.196
